mouse_number,genotype,session_number,trial_number,Sex,contact_detach_timestamps_milliseconds
4,Prrxl1WT,2,100,M,[-49   1 455 499 551 600 657 702 758 808]
4,Prrxl1WT,3,1,M,"[   1  315  370  425  496  623  678  732  815  876  957 1012 1095 1166
 1239 1329 1388 1477 1527 1600 1664 2799 2863 2917 3031 3052 3125 3192
 3279 3343 3430 4478 4514 4574 4638 4715 4792]"
4,Prrxl1WT,3,2,M,"[   1   33   65  378  433  501  561  620  674  747  801  862  884 1186
 1246 1301 1349 1418 1483 1817 1905 2151 2216 2318 2390 2473 2568 2660
 2784 2843 2904 3213 3250 3498 3744 4795 4853 5182]"
4,Prrxl1WT,3,3,M,"[   1  387  440  514  568  641  695  778  833  905  972 1058 1118 1766
 1874 1938 1993 2093 2183 2274 4338 4848 4880 4954]"
4,Prrxl1WT,3,4,M,"[ -27  633  656  784  833  935 1018 1132 1170 1272 1332 1458 1593 1643
 1739 1836 1890 1977 2199 2278 2355 2443 2596 2641 2689 2908 2937 3542
 3588 3643 3796 3851 3894 4644 4704]"
4,Prrxl1WT,3,5,M,"[ -87    1   47   90  299  324  385  434  502  526  625  673  752  806
 1056 1134 1217 1306 1394 2142 2213 2244 2826 2907 2959 3014 3097 3146
 3415 3519 3595 3703 3773 3863 3947 4001 4278]"
4,Prrxl1WT,3,6,M,"[   1  285  339  408  457  525  560  602  681  753  836  864  887  930
  999 1105 1150]"
4,Prrxl1WT,3,7,M,[  1  32  86 161 221 271 332 387 446 511]
4,Prrxl1WT,3,8,M,"[   1   42   80  238  286  334  383  437  497  552 2234 2276 2314 2369
 2413 2484 2522 2597 2668 2738 2810 2856]"
4,Prrxl1WT,3,9,M,"[   0  322  371  429  478  529  579  646 3739 3771 3814 3865 3908 4081
 4142 4215 4264 4354 4408]"
4,Prrxl1WT,3,10,M,"[ -43    1  217  255  423  444  514  552  751  789  868  935 1650 1723
 1769 1818 2289 2372 2433 2482 2980 3143 3484 3525 4503 4528 4747 4779
 4801 4874 4916 4959]"
4,Prrxl1WT,3,11,M,"[ -26    1   47   90  251  302  460  508  579  623  688  738  822  866
  946 1012 1077 1178 1229 2111 2364 2397 2702 2734 2800 2861 3191 3246
 3505 3542 3618 3685 3772 3810 3903 3924 4234 4354 4414 4455 4769 4893
 4930 4968]"
4,Prrxl1WT,3,12,M,"[ -53    1  397  457  535  560  631  676  770  821  906  962 1042 1120
 1205 2774 2810 2854 3041 3067 3177 3197 3283 3332 3399 3470 3553 3575
 3687 3735 3822 3883 3969 4025 4106 4160 4232 4293 4502 4542 4675 4800
 4846 4890]"
4,Prrxl1WT,3,13,M,"[ -60    1  301  327  394  443  515  559  640  684  770  842  914 1003
 1092 1189 1245 1289 1395 1451 1541 1602 1869 3824 4393 4447 4507 4572
 4798 4819]"
4,Prrxl1WT,3,14,M,"[ -54    1  194  221  399  447  536  567  652  680  755  832  917 1025
 1085 1153 1277 1320 1390 3119 3425 3452 3523 3576 3995 4062 4137 4192
 4305 4325 4401 4474 4559 4614]"
4,Prrxl1WT,3,15,M,[-89   1 294 349 539 594 688 750 830]
4,Prrxl1WT,3,16,M,"[   1   42   78  139  187  330  377  438  482  546  607  666  755  811
 1766 1802 1834 1995 2048 2132 2157 3182 3236 3580 3600 3903 3975 4430
 4454 4614 4673]"
4,Prrxl1WT,3,17,M,"[ -20    1   71   99  380  423  512  533  600  643  704  753  829  873
 2289 2361 2420 2446 2498 2536 2592 2635 2692 2742 2807 2862 3042 3092
 3320 3347 3432 3488 3714 3758 3814 3861 3929 3973 4291 4358 4594 4615
 4671 4877 4943]"
4,Prrxl1WT,3,18,M,"[ -27   49   77  260  304  366  420  476  520  581  630  706  755  826
  882  967 1368 1414 1458 1576 1597 1672 1714 1786 1815 1920 1974 2067
 2098 2170 2219 2563 2625 2843 2921 3001 3073 3139 3223 3288 3361 3442
 3492 3567 3606 3649 3707 3778 4025 4069 4159 4248 4441 4508 4603]"
4,Prrxl1WT,3,19,M,"[   1  479  507  600  638  698  770  836  948  981 1704 1754 1792 1853
 1902 1962 2001 2201 2244 4306 4349 4695 4744 4975]"
4,Prrxl1WT,3,20,M,"[   0   86  108  420  452  655  715  805 1317 1530 1557 1636 1870 2284
 2380 2490 2534 2633 2676 2926 2980 3071 3121 3450 3512 3602 3669 3755
 3874 3914 3992 4048 4362 4643 4687 4709 4775 4846 4890]"
4,Prrxl1WT,3,21,M,"[ -55    1  235  269  335  385  440  491  557  612  668  723  798  849
  923  979 1075 1124 4796]"
4,Prrxl1WT,3,22,M,"[ -49    1  267  314  351  415  463  533  576  660  709  800 3497 4126
 4147 4189 4233 4400 4443 4513 4557 4683 4718 4957]"
4,Prrxl1WT,3,23,M,"[   1   47   69  459  503  574  618  684  733 2031 2052 2837 2881 3072
 3121 3314 3364 3977 4031 4098 4141 4351 4379 4643 4687 4925 4969]"
4,Prrxl1WT,3,24,M,"[ -43    1  287  331  393  442  507  563  624  677  745  800  857  906
  971 1027 1097 1153 1228 1272 1357 1386 1501 1550 1626 1689 1785 1881
 1942 1991 2082 2126 2206 2274 2364 2408 2526 2558 2990 3015 3086 3141
 3212 3261 3337 3404 3484 3532 3609 3670 3756 3800 3885 3907 4566 4610]"
4,Prrxl1WT,3,25,M,"[ -49    1   81  148  224  278  331  375  555  609  799  842  928  988
 1078 1127 1218 1320 1430 1463 2177 2218 2257 2277 2424 2473 2544 2611
 2698 2736 2836 2879 2945 2998 3066 3132 3222 3284 3487 3564 3779 3846
 3923 4001 4082 4160 4236 4280 4365 4415 4648 4683]"
4,Prrxl1WT,3,26,M,"[ -83    1   38   80  143  186  248  291  342  392  459  503  568  619
  693  750  820  869  955 1005 1100 1144 1234]"
4,Prrxl1WT,3,27,M,"[   1   34   71  131  174  230  279  319  367  428  471  532  573  634
  688  763  829  894  972  999 1625 2159 2179 2226 2263 2333 2376 2431
 2475 2684 2705 2896 2934 3032 3083 3123 3157 3195 3216 3252 3296 3355
 3398 3444 3486 3662 3686 3963 4064 4110 4153 4212 4255 4407 4442 4899
 4942]"
4,Prrxl1WT,3,28,M,"[ -19    1   29   90  118  161  396  440  511  542  603  645 2358 2383
 3203 3281 3312 3349 3412 3461 3529 3573 3659 3697 4394 4438 4514 4564
 4645 4689]"
4,Prrxl1WT,3,29,M,"[ -37    1  378  422  594  638  810  854  910  961 1017 1061 1685 1770
 1826 1927 1985 2007 2798 2818 3076 3143 3205 3243 3451 3495 3572 3616
 3682 3732 3843 4016 4386 4407 4478 4518 4715 4771]"
4,Prrxl1WT,3,30,M,"[ -54    1  157  194  815  876  963 1765 1915 1959 2031 2081 2167 2211
 2278 2337 2724 2758 2865 2908 2981 3025 3076 3149 3212 3267 3469 3536
 3607 3657 3738 3788 3908 3928 4000 4037 4110 4160 4395 4433 4572 4600
 4672 4750 4945]"
4,Prrxl1WT,3,31,M,"[ -27   50  118  292  347  403  453  638  682  759  803  885  944 1027
 1141 1322 1401 1468 2771 2911 2948 3010 3054 3246 3295 3382 3426 3487
 3537 3607 3658 3744 3788 3942 3971 4343 4392 4452 4496 4985]"
4,Prrxl1WT,3,32,M,"[   1   43   81  349  392  453  509  575  624  691  735  811  854 1057
 1085 1161 1256 1332 1375 1470 1526 1628 1666 1780 1811 2014 2069 2448
 2492 2818 2846 3245 3289 3375 3424 3519 3563 3648 3687 4000 4034 4233
 4357 4413 4457 4523 4567 4902 4957]"
4,Prrxl1WT,3,33,M,"[ -27    1   28   61  231  253  331  375  431  481  542  592  653  708
  780  829  901  950 1026 1081 1290 1325 1427 1471 1547 1591 1697 1752
 2557 2624 2859 2914 3005 3059 3131 3175 3256 3305 3362 3423 3637 3692
 3899 3989 4339 4368 4450 4479 4588 4661 4790 4812 4878 4918]"
4,Prrxl1WT,3,34,M,"[ -71    1  293  332  507  546  654  686  752  791  872  951 1037 1133
 1208 1246 1321 1365 1671 1726 2118 2207 2244 2287 2558 2606 3034 3066
 3117 3185 3252 3296 3377 3431 3517 3551 4055 4107 4348 4387 4478 4563
 4639 4711 4809 4853 4944]"
4,Prrxl1WT,3,35,M,"[ -26   25  105  514  542  632  677  744  788  869  941 1017 1135 1174
 1265 1326 1424 1466 2960 3024 3068 3128 3173 3248 3285 3509 3560 3819
 3868 3967 3988 4091 4140 4551 4617]"
4,Prrxl1WT,3,36,M,"[ -65    1  153  192  359  387  585  618 1091 1123 1243 1276 1379 1476
 1546 1589 1684 1731 1806 1872 1957 2011 2236 2326 2400 2507 2562 2683
 2739 2812 2891 2951 3056 3128 3209 3253 3888 3950 4010 4064 4239 4263
 4335 4380 4492 4566 4617 4655]"
4,Prrxl1WT,3,37,M,"[ -43    1  334  357  443  499  560  616  676  731  798  853  919  968
 2052 2114 2179 2229 2560 2583 3158 3187 3529 3624 3670 3714 3908 3930
 3979 4339 4394 4647 4696 4787 4836 4926 4964 5396]"
4,Prrxl1WT,3,38,M,"[   1   38   76  248  290  353  385  467  511  587  637  708  757  838
  887  962  989 1126 1186 1257 1328 1404 1471 1576 1619 4913]"
4,Prrxl1WT,3,39,M,"[ -27  258  313  372  428  491  540  619  681  759 1831 1998 2018 2079
 2121 2226 2247 2318 2373 2816 2836 2879 2928 2990 3040 3117 3172 3253
 3287 3515 3561 4110 4229 4286 4330 4906 4944]"
4,Prrxl1WT,3,40,M,"[ -20    1  202  241  408  461  519  572  640  695  789  822  909  947
 1576 1610 1738 1765 2019 2081 2308 2353 3052 3131 3193 3232 3308 3358
 3420 3469 3556 3606 3683 3733 3834 3879 3970 3993 4113 4157 4234 4262
 4451 4478 4535 4602 4708 4775 4867 4916]"
4,Prrxl1WT,3,41,M,"[ -22    1  227  254  429  473  540  590  666  720  783  823 1261 1302
 1370 1426 1498 1558 1636 1704 1795 1856 1963 2036 2129 2230 2305 2332
 2408 2480 3057 3105 3148 3198 3491 3535 3628 3666 3757 3806 4032 4087
 4166 4198 4872]"
4,Prrxl1WT,3,42,M,"[   1  360  404  470  514  586  641 1796 1835 1914 1952 2500 2572 2614
 2665 2731 2781 2849 2893 2975 3019 3210 3253 3325 3359 3601 3677 3916
 3977 4196 4279 4337 4381 4467 4534 4622 4689 4761 4846]"
4,Prrxl1WT,3,43,M,"[ -72    1   67   90  502  524 1366 1433 1817 1850 1908 1986 2813 2838
 3067 3106 3439 3502 3598 3711 3750 3835 3923 3978 4180 4235 4449 4517
 4588 4678 4773 4799 4872 4910]"
4,Prrxl1WT,3,44,M,"[ -49    1  190  223  384  439  502  553  619  687  749  798  876  932
 1019 1069 1131 1221 1289 1384 1447 1496 1578 1657 1729 1848 1885 1992
 2622 2678 2883 2927 3381 3506 3808 3868 3976]"
4,Prrxl1WT,3,45,M,"[   1   39   75  137  187  258  307  373  416  484  539  605  660  706
  779  856  916 1002 1081 1152 1208 1274 1308 1397 1440 1573 1622 1797
 1829 2108 2135 2200 2268 2344 2405 2476 2548 2645 2735 2811 2866 2957
 3012 3088 3201 3243 3321 3401 3451 3546 3590 3690 3729 3910 3994 4070
 4114 4503 4749 4805 4861 4907 4947 5251]"
4,Prrxl1WT,3,46,M,"[   1 1116 1182 1235 1278 1356 1384 1451 1489 1564 1608 1694 1744 2010
 2054 2140 2203 2329 4049 4096 4116 4186 4241 4306 4349 4545 4606 4670
 4730 4883 4971]"
4,Prrxl1WT,3,47,M,"[ -48    1  414  439  509  558  623  695  760  810  898  942 1041 1153
 1194 1280 1346]"
4,Prrxl1WT,3,48,M,"[   1   36   74  224  262  303  352  408  451  502  558  604  659  719
  769  824  884  941 1013 1036 2296 2333 2377 2429 2473 2547 2574 2829
 2878 2925 2974 3036 3086 3142 3199 3292 3325 3409 3436 3936 3991 4043
 4088 4436 4461 4622 4650 4803 4861]"
4,Prrxl1WT,3,49,M,[-49   1 137 176]
4,Prrxl1WT,3,50,M,[    1 54263]
4,Prrxl1WT,3,51,M,"[   1   38   74  130  179  226  274  316  363  410  469  515  564  624
  679  733  782  846  939  977 1050 1113 1161 1584 1621 1671 1737 1797
 1835 1896 1939 1998 2042 2127 2165 2234 2294 2368 2411 2466 2515 2577
 2612 3092 3147 3203 3230 3285 3322 3867 3899 4097 4141 4285 4321 4396
 4431 4873 4904 4954]"
4,Prrxl1WT,3,52,M,"[ -27  437  456  747  796  992 1035 1212 1234 1614 1647 1841 1884 1960
 2009 2070 2107 2163 2299 2370 2419 2508 2592 2644 2722 2772 2862 2903
 2940 3211 3313 3335 3424 3481 3530 3772 3815 4234 4261 4336 4396 4491
 4539 4600 4623 4712 4796]"
4,Prrxl1WT,3,53,M,"[ -26    1   51   95  244  281  570  590  646  695  776  820  910  994
 1031 1107 1150 1205 1270 1873 1945 1976 2059 2089 2160 2209 2290 2333
 2399 2465 2630 2703 2769 2801 3107 3128 3257 3295 3365 3409 3450 3512
 3837 3950 3991 4035 4204 4248 4303 4327 4673 4711 4801 4839 4915 4937]"
4,Prrxl1WT,3,54,M,"[ -43    1   70  104  175  202  380  408  493  542  598  641  727  770
  866  956 1002 2229 2260 2297 2348 2384 2478 2498 2563 2623 2697 2744
 2821 2870 2929 2973 3048 3071 3390 3424 3791 3858 3914 3952 4031 4069
 4154 4197 4276 4302 4597 4629 4811 4854 4947 4973]"
4,Prrxl1WT,3,55,M,"[ -48    1  550  569  632  676  749  799  863  918  999 1031 1097 1138
 1236 1262 1351 1389 2546 2578 2634 2683 2751 2790 2878 2926 3011 3058
 3234 3283 3469 3503 3573 3628 4408 4457 4537 4585 4646 4690 4789 4833
 4883 4927]"
4,Prrxl1WT,3,56,M,"[ -32    1  525  551  607  651  951  985 1681 1724 1785 1839 2239 2293
 2992 3069 3476 3538 3623 3661 3726 3776 4194 4266 4314 4357 4418 4461
 4526 4564 4685 4714 4752 4781]"
4,Prrxl1WT,3,57,M,"[ -36    1  630  651  736  784  854  904 1006 1205 1275 1313 1392 1436
 1622 1730 1762 1890 1952 2052 2099]"
4,Prrxl1WT,3,58,M,"[   1  128  170  227  271  328  388  438  505  561  610  671  732  802
  873  948  997 1053 1107 1293 1322 1401 1450 1536 1574 1629 1683 1754
 1798 1877 1932 2707 2757 2931 2975 3365 3408 3591 3614 4016 4054 4497
 4535 4577 4620 4755 4794 4874 4918 4971]"
4,Prrxl1WT,3,59,M,"[  -1  365  403  779  823 1142 1164 1319 1362 1752 1796 2041 2062 2131
 2151 2218 2256 2937 2975 3033 3071 3129 3160 3239 3267 3477 3510 3703
 3737 4439 4478 4813 4851 4918]"
4,Prrxl1WT,3,60,M,"[ -26   40   62  673  717 1079 1134 1310 1344 1414 1458 1565 1626 1693
 1794 1852 1907 1963 2048 2129 2202 2258 2320 2411 2500 2753 2819 2894
 2927 3013 3061 3465 3487 3717 3813 3914 3982 4189 4231 4450 4488 4565
 4822]"
4,Prrxl1WT,3,61,M,"[ -49    1   87  142  199  267  325  356  410  465  531  581  644  699
  811  837  899  989 1061 1105 1196 1245 1302 1391 1430 1543 1580 1693
 1774 1823 1886 1935 2132 2885 2953 2996 3172 3240 3411 3466 4774 4816]"
4,Prrxl1WT,3,62,M,"[ -26    1  416  464  638  687 1328 1390 1557 1616 1785 1829 1911 1961
 2023 2071 2136 2188 2431 2469 2542 2586 2673 2723 2806 2855 2917 2973
 3060 3120 3199 3256 3348 3398 3475 3541 3623 3713 3741 3855 3892 3993
 4156 4211 4303 4342 4899]"
4,Prrxl1WT,3,63,M,"[   1  580  630 1033 1060 1156 1205 1277 1345 1427 1488 1551 1884 1926
 2027 2088 2155 2252 2306 3359 3504 4013 4116 4547 4603]"
4,Prrxl1WT,3,64,M,"[ -65    1  377  421  483  534  600  655  713  763  819  869 1199 1247
 1321 1417 1484 1534 1621 3406 3459 3496 3569 3618 3699 3749 3835 3883
 3961 4022 4099 4166 4223 4284 4366 4416 4468 4530 4616 4672]"
4,Prrxl1WT,3,65,M,"[ -72    1   52   74  249  280  690  728  810  842  984 1004 1071 1149
 1220 1291 1354 1611 1644 1729 1797 1842 1924 2014 2087 2153 2251 2319
 2381 2478 2992 3013 3315 3412 4976]"
4,Prrxl1WT,3,66,M,"[   1  274  301  383  438  500  566  634  683  760 1076 1356 1400 1507
 1569 1715 1764 2051 2196 2233 2277 2331 2367 2431 2481 2557 2613 2680
 2725 2792 2843 2914 2964 3037 3086 3163 3208 3294 3339 3532 3586 3662
 3775 3819 3841 3862 3906 4090 4134 4201 4252 4680 4700]"
4,Prrxl1WT,3,67,M,"[ -37    1  463  508  576  620  693  742  814  858 1189 1228 1416 1466
 1549 1582 1665 1693 1770 1814 2396 2440 2508 2547 2650 2683 2740 2773
 3128 3154 3217 3283 3351 3411 4185 4223 4291 4312 4579 4635 4696 4786
 4956]"
4,Prrxl1WT,3,68,M,"[ -27  262  305  465  509  588  621  683  738  800  850  932 1006 1077
 1196 1238 1333 1410 1460 1518 1585 1672 1780 1813 2070 2132 2176 2514
 2547 2620 2642 2912 2980 3042 3098 3288 3343 3419 3452 3508 3570 3664
 3685 3953 4013 4087 4136 4193 4244 4338 4359]"
4,Prrxl1WT,3,69,M,"[ -31    1  419  457  635  679  747  791  874  912  964 1013 1365 1409
 1593 1637 1732 1754 1821 1854 1921 1960 2159 2219 2293 2377 2477 2567
 2609 2689 2759 2825 3367 3394 4008 4187 4324]"
4,Prrxl1WT,3,70,M,"[ -32    1  685  735  862  939  989 1057 1102 1180 1280 1334 1586 1658
 1719 1802 1846 1954]"
4,Prrxl1WT,3,71,M,"[   1   52  130  182  342  384  456  488  550  592  658  699  766  813
  874  921 1017 1039]"
4,Prrxl1WT,3,72,M,"[   1   52   75  362  383  538  605  651  688  745  802  852  901  961
 1010 1090 1146 1402 1430 1803 2009 2246 2313 2769 2818 2874 2924 2991
 3034 3414 3440 3664 3725 3802 3869 4351 4418 4490 4610 4666 4762 4835]"
4,Prrxl1WT,3,73,M,"[   1  156  179  290  310  357  413  470  509  565  626  679  721  774
  847  893  948 1030 1115 1161 1608 1663 1707 1768 1818 1936 2212 2303
 2324 2529 2573 2637 2687 2754 2816 2955 3560 3602 3663 4314 4364 4431
 4497 4690 4786 4832]"
4,Prrxl1WT,3,74,M,[   1  141  185  437  460  910 4752]
4,Prrxl1WT,3,75,M,"[ -77    1   52   75  598  642  829  907  959 1718 1751 1784 2076 2120
 2171 2214 2632 2665 2730 2781 2862 2901 2991 3015 3096 3538 3846]"
4,Prrxl1WT,3,76,M,[  1  33  71 263 285 331 535 573 652 684]
4,Prrxl1WT,3,77,M,"[   1   48   97  159  204  313  415  473  517  682  883  925 3739 3765
 3808 3999 4019 4076 4137 4302 4330 4412 4432 4540 4589 4770 4836 4894
 4943]"
4,Prrxl1WT,3,78,M,[-72   1  72 127 196 246 289 344 430 450 513 575 637]
4,Prrxl1WT,3,79,M,"[   1   38   60  440  462  529  584  637  692  859  921 1099 1728 1983
 2021 2068 2123 2625 2658 2699 2784 3824 4601 4644 4683 4984]"
4,Prrxl1WT,3,80,M,"[  1  28  51 124 185 241 280 338 382 438 482 551 595 651 696 769 800 869
 931]"
4,Prrxl1WT,3,81,M,[   1   47   75  141  190  445  899 1059 1119 1157]
4,Prrxl1WT,3,82,M,"[   1   38   76  137  176  222  266  313  368  409  465  516  566  626
  683  753  814  880 2368 2410 2454 2610 2648 2828 2883 2944 2987 3156
 3205 3271 3321 3377 3432 3524 3551 3607 3658 3718 3766 3829 3879 4094
 4138 4203 4259 4330 4374 4440 4490 4556 4606 4672 4721 4802 4846 4908]"
4,Prrxl1WT,3,83,M,"[ -26   30   69  354  391  453  502  568  617  688  744  814  899  965
 1067 1127 1177 1233 1548 1702 1747 1804 1848 2112 2156 2311 2349 2530
 2574 2949 2987 3053 3097 3182 3232 3299 3348 3399 3447 3511 3555 3647
 3673 3725 3873 3988 4037 4109 4199 4250 4288 4444 4482 4554 4597 4658
 4709 4784 4834 4890 4951]"
